Date,Day,STT,Trade (L-S),Time in (24H/UTC-4),Time out 1 (24H/UTC-4),SL,Profit 1,Expect,Confluent NQ,Confluent ES
2026-04-13,Mon,1,S,943,948,15.5,38.75,x,"CISD, B6 81, CE NWOG","NYSE, CE NWOG"
2026-04-13,Mon,2,S,946,946,14.0,x,28,"CISD, CE 81, B6 243",CISD
2026-04-13,Mon,3,L,949,959,36.25,90.75,x,"CISD, B6 243, B6 81, CE NWOG, SSMT, Hidden SMT","SSMT, Hidden SMT"
2026-04-14,Tue,1,S,941,942,25.25,x,x,"CISD, CE 81, B6 243, DC, PSP",PSP
2026-04-14,Tue,2,L,1008,1016,20.0,40,x,"CE 81, B6 243, CISD, SMT Fill, 2-1-2 M15","CISD, SMT Fill, 2-2-2 M15"
2026-04-14,Tue,3,L,1014,1035,23.0,46,x,"CISD, 953, B6 81, DC",X
2026-04-15,Wen,1,L,940,943,24.0,x,48,"CISD, B6 243, CE 81",X
2026-04-15,Wen,2,S,947,947,22.25,x,44.5,"CISD, NYSE, Q2, B6 243",TSE
2026-04-15,Wen,3,L,1002,1017,19.5,39,x,"CISD, 953, B6 81",NYSE
2026-04-16,Thu,1,S,1010,1012,20.0,x,40,"CE 81, CISD, CE 243, Q1",X
2026-04-17,Fri,1,L,939,940,20.75,x,41.5,"CISD, B6 243, CE 81, NYSE",ES LV
2026-04-17,Fri,2,L,943,943,21.0,x,42,"CISD, B6 243, CE 81, NYSE, Q4, 2-1-2 M1, SMT",SMT
2026-04-17,Fri,3,L,953,954,22.0,x,44,"CISD, B6 81, B6 243",X
2026-04-17,Fri,4,L,1003,1039,30.5,61,x,"CISD, 953, B6 81",ES LV
2026-05-11,Mon,1,L,1004,1026,34.25,0,68.5,"CISD, 953, CE H7, CE NWOG",X
